iter	RMSE
0	3.090592998
1	3.011385131
2	2.936519477
3	2.866959947
4	2.802044922
5	2.74237365
6	2.685745751
7	2.633818672
8	2.585551049
9	2.540239561
10	2.4974843
11	2.456905679
12	2.421047457
13	2.385841917
14	2.354733324
15	2.324034025
16	2.296541293
17	2.271241568
18	2.247747493
19	2.226392346
20	2.206353664
21	2.187611693
22	2.1694067
23	2.152989503
24	2.137705971
25	2.123496689
26	2.110814848
27	2.098791208
28	2.087754555
29	2.077090621
30	2.06681728
31	2.057450713
32	2.048549958
33	2.040678793
34	2.03280553
35	2.025540329
36	2.018711252
37	2.012370803
38	2.006505933
39	2.001001566
40	1.995507769
41	1.991151379
42	1.986513658
43	1.982139356
44	1.978038268
45	1.974085222
46	1.970307124
47	1.966368276
48	1.962838838
49	1.959946356
50	1.957068295
51	1.954152723
52	1.951529599
53	1.948874113
54	1.946180388
55	1.943967735
56	1.941557834
57	1.939401013
58	1.937495505
59	1.935287693
60	1.933401496
61	1.931736054
62	1.929818896
63	1.927872841
64	1.92624851
65	1.92499273
66	1.923401355
67	1.922125239
68	1.920515529
69	1.919507971
70	1.917690014
71	1.916421335
72	1.914812893
73	1.913582922
74	1.91227493
75	1.911050786
76	1.90979976
77	1.908603931
78	1.907728814
79	1.906747657
80	1.90591027
81	1.904593411
82	1.903709163
83	1.902666214
84	1.901806872
85	1.900964367
86	1.900287256
87	1.899138744
88	1.89800092
89	1.897036336
90	1.896170648
91	1.895295873
92	1.894566734
93	1.893518402
94	1.892827146
95	1.891981268
96	1.89096713
97	1.890377499
98	1.889748787
99	1.888966147
100	1.888500053
101	1.887879939
102	1.886915398
103	1.886310994
104	1.885401287
105	1.884861163
106	1.884297112
107	1.883729856
108	1.8830096
109	1.882494638
110	1.881810788
111	1.881354588
112	1.880598578
113	1.879959592
114	1.879316032
115	1.87875524
116	1.87831114
117	1.877788724
118	1.877223636
119	1.876650094
120	1.876080383
121	1.875337084
122	1.874792491
123	1.874342174
124	1.873750819
125	1.873036775
126	1.872424701
127	1.872048687
128	1.871429576
129	1.870916914
130	1.870446019
131	1.869892884
132	1.86943929
133	1.869019208
134	1.868509423
135	1.868129169
136	1.867650766
137	1.86722057
138	1.866712216
139	1.866117892
140	1.865660434
141	1.865176001
142	1.864749994
143	1.864233901
144	1.863947896
145	1.863583903
146	1.862949333
147	1.862394943
148	1.861949682
149	1.861474637
150	1.860924839
151	1.860350065
152	1.860045824
153	1.859686347
154	1.859410829
155	1.858878494
156	1.858485416
157	1.858042629
158	1.857762583
159	1.857343448
160	1.856986372
161	1.856597604
162	1.856182106
163	1.855732069
164	1.855355427
165	1.854915161
166	1.854355119
167	1.854119798
168	1.853851174
169	1.853382361
170	1.852798778
171	1.852509309
172	1.852200602
173	1.85163813
174	1.851139538
175	1.850841044
176	1.850485663
177	1.850253355
178	1.84988936
179	1.849387914
180	1.84902521
181	1.848549033
182	1.848148524
183	1.847799469
184	1.847556954
185	1.847158345
186	1.846918347
187	1.846601362
188	1.846144362
189	1.845654929
190	1.845298978
191	1.844976016
192	1.844723532
193	1.844440905
194	1.844183931
195	1.843881541
196	1.843551932
197	1.84329517
198	1.842994025
199	1.842753816
200	1.842459598
201	1.842097497
202	1.841840217
203	1.841535669
204	1.841142157
205	1.840866181
206	1.840598762
207	1.840208751
208	1.840009578
209	1.839780719
210	1.839393803
211	1.839102326
212	1.838659318
213	1.838363764
214	1.838097882
215	1.837765026
216	1.837553939
217	1.837278082
218	1.836951242
219	1.836584033
220	1.836295786
221	1.835908064
222	1.835722285
223	1.835483304
224	1.835265671
225	1.834948634
226	1.83454501
227	1.834349123
228	1.834060211
229	1.833654791
230	1.833503035
231	1.833151515
232	1.832831212
233	1.832542187
234	1.832363837
235	1.832217026
236	1.831951159
237	1.831658111
238	1.831322943
239	1.830999044
240	1.830639712
241	1.830376193
242	1.830065648
243	1.829857127
244	1.82959487
245	1.829231702
246	1.829005483
247	1.828763158
248	1.82848836
249	1.82830699
250	1.828084673
251	1.827776011
252	1.827556462
253	1.827296204
254	1.826988906
255	1.826796912
256	1.826470715
257	1.826184596
258	1.825891563
259	1.825732458
260	1.825457577
261	1.825194125
262	1.824983672
263	1.824725847
264	1.824559329
265	1.82419249
266	1.82394016
267	1.823711104
268	1.82328643
269	1.823069506
270	1.82285822
271	1.82262918
272	1.822474709
273	1.822223484
274	1.822042951
275	1.821797288
276	1.821428325
277	1.821223543
278	1.821048137
279	1.820830839
280	1.8206467
281	1.820412689
282	1.820101985
283	1.819915208
284	1.819701822
285	1.819396607
286	1.819189334
287	1.81904552
288	1.818866734
289	1.8186874
290	1.818433388
291	1.818228471
292	1.818036325
293	1.817820179
294	1.817666214
295	1.817436097
296	1.817214686
297	1.81698864
298	1.816778899
299	1.816553008
