iter	Passed	Remaining
0	7	7889
1	14	7344
2	21	7158
3	27	6902
4	34	6920
5	41	6927
6	49	7054
7	58	7230
8	65	7179
9	71	7062
10	77	6988
11	84	6969
12	90	6905
13	97	6882
14	104	6838
15	110	6790
16	116	6730
17	122	6694
18	128	6655
19	134	6603
20	141	6573
21	147	6542
22	153	6522
23	159	6490
24	165	6451
25	171	6431
26	177	6399
27	183	6377
28	189	6350
29	195	6325
30	202	6327
31	209	6330
32	215	6325
33	222	6315
34	228	6292
35	234	6286
36	240	6252
37	246	6229
38	251	6206
39	257	6183
40	263	6170
41	270	6160
42	276	6151
43	282	6137
44	288	6115
45	294	6099
46	299	6072
47	305	6052
48	311	6042
49	317	6037
50	323	6017
51	329	6006
52	335	5992
53	341	5977
54	347	5964
55	353	5961
56	359	5946
57	365	5931
58	370	5913
59	377	5909
60	383	5900
61	389	5885
62	395	5878
63	400	5862
64	408	5869
65	414	5866
66	421	5867
67	428	5869
68	434	5858
69	440	5847
70	446	5835
71	451	5822
72	458	5816
73	463	5801
74	469	5793
75	475	5784
76	481	5768
77	487	5756
78	493	5747
79	498	5732
80	504	5725
81	510	5717
82	517	5713
83	523	5705
84	528	5689
85	534	5684
86	541	5678
87	546	5664
88	552	5656
89	558	5650
90	564	5642
91	571	5639
92	578	5638
93	584	5631
94	589	5617
95	595	5609
96	602	5605
97	608	5599
98	614	5596
99	622	5598
100	629	5607
101	636	5603
102	642	5595
103	648	5588
104	654	5578
105	659	5566
106	665	5555
107	671	5543
108	677	5535
109	683	5530
110	689	5519
111	695	5515
112	701	5509
113	707	5501
114	713	5493
115	720	5487
116	725	5474
117	731	5464
118	736	5454
119	742	5445
120	748	5437
121	754	5428
122	760	5420
123	766	5414
124	772	5404
125	778	5397
126	784	5393
127	790	5385
128	797	5384
129	803	5377
130	810	5373
131	816	5369
132	822	5362
133	830	5364
134	836	5357
135	841	5347
136	848	5345
137	855	5342
138	861	5333
139	866	5323
140	872	5316
141	878	5309
142	884	5299
143	890	5291
144	895	5281
145	901	5274
146	908	5269
147	914	5263
148	920	5254
149	926	5248
150	931	5237
151	936	5226
152	942	5219
153	949	5218
154	958	5222
155	965	5224
156	971	5217
157	978	5211
158	983	5202
159	989	5193
160	994	5184
161	1000	5174
162	1007	5171
163	1013	5166
164	1019	5158
165	1025	5154
166	1033	5154
167	1041	5156
168	1047	5150
169	1055	5151
170	1061	5144
171	1067	5138
172	1073	5132
173	1079	5124
174	1086	5120
175	1091	5111
176	1098	5107
177	1105	5103
178	1111	5096
179	1117	5089
180	1123	5082
181	1128	5073
182	1134	5066
183	1140	5059
184	1146	5052
185	1153	5047
186	1160	5043
187	1166	5037
188	1172	5031
189	1178	5023
190	1184	5016
191	1189	5006
192	1195	4997
193	1201	4990
194	1208	4988
195	1215	4987
196	1221	4980
197	1227	4970
198	1234	4968
199	1239	4959
200	1245	4952
201	1252	4946
202	1258	4939
203	1264	4933
204	1270	4925
205	1276	4920
206	1282	4914
207	1289	4909
208	1295	4904
209	1302	4900
210	1309	4896
211	1315	4889
212	1320	4880
213	1327	4874
214	1334	4870
215	1340	4866
216	1347	4861
217	1353	4856
218	1360	4850
219	1366	4844
220	1372	4837
221	1378	4830
222	1383	4821
223	1389	4812
224	1396	4809
225	1403	4805
226	1410	4802
227	1417	4797
228	1424	4795
229	1431	4792
230	1438	4789
231	1445	4785
232	1451	4778
233	1457	4772
234	1464	4767
235	1470	4760
236	1476	4754
237	1483	4748
238	1488	4740
239	1494	4732
240	1500	4725
241	1506	4718
242	1512	4711
243	1518	4703
244	1523	4695
245	1529	4688
246	1535	4681
247	1541	4675
248	1548	4670
249	1554	4664
250	1560	4656
251	1566	4650
252	1572	4644
253	1578	4636
254	1584	4629
255	1591	4624
256	1597	4618
257	1603	4611
258	1609	4605
259	1616	4601
260	1624	4598
261	1630	4592
262	1636	4586
263	1644	4584
264	1651	4581
265	1658	4576
266	1665	4571
267	1672	4567
268	1679	4563
269	1686	4560
270	1693	4554
271	1700	4550
272	1707	4547
273	1713	4540
274	1720	4536
275	1726	4529
276	1733	4524
277	1739	4517
278	1745	4511
279	1753	4508
280	1760	4503
281	1767	4499
282	1773	4493
283	1780	4488
284	1786	4480
285	1791	4473
286	1798	4469
287	1805	4462
288	1810	4454
289	1817	4450
290	1823	4443
291	1831	4441
292	1837	4433
293	1845	4432
294	1852	4426
295	1858	4420
296	1866	4418
297	1873	4413
298	1881	4411
299	1888	4405
300	1895	4401
301	1901	4395
302	1908	4389
303	1916	4387
304	1922	4381
305	1930	4378
306	1937	4373
307	1944	4368
308	1951	4363
309	1957	4356
310	1964	4352
311	1971	4347
312	1979	4344
313	1984	4336
314	1991	4331
315	1998	4325
316	2003	4317
317	2010	4311
318	2016	4304
319	2022	4298
320	2029	4293
321	2035	4286
322	2043	4283
323	2050	4278
324	2057	4273
325	2063	4266
326	2071	4262
327	2078	4257
328	2084	4251
329	2091	4246
330	2098	4240
331	2105	4236
332	2112	4231
333	2118	4224
334	2125	4219
335	2132	4214
336	2140	4210
337	2147	4206
338	2155	4203
339	2162	4198
340	2169	4193
341	2177	4188
342	2183	4182
343	2189	4175
344	2194	4166
345	2201	4161
346	2207	4154
347	2213	4147
348	2219	4140
349	2225	4132
350	2230	4124
351	2236	4117
352	2242	4110
353	2249	4104
354	2255	4097
355	2261	4090
356	2268	4086
357	2274	4079
358	2282	4076
359	2289	4070
360	2295	4063
361	2302	4057
362	2309	4052
363	2316	4047
364	2323	4041
365	2330	4036
366	2337	4032
367	2344	4026
368	2351	4021
369	2358	4015
370	2365	4009
371	2372	4004
372	2378	3998
373	2385	3992
374	2391	3985
375	2398	3980
376	2404	3973
377	2410	3967
378	2418	3962
379	2424	3955
380	2430	3948
381	2437	3942
382	2444	3937
383	2450	3930
384	2456	3923
385	2462	3917
386	2468	3909
387	2475	3904
388	2482	3898
389	2488	3891
390	2495	3886
391	2500	3878
392	2507	3873
393	2514	3868
394	2520	3860
395	2527	3855
396	2534	3849
397	2541	3844
398	2547	3837
399	2554	3831
400	2560	3824
401	2566	3817
402	2572	3810
403	2579	3804
404	2585	3798
405	2592	3792
406	2598	3786
407	2604	3779
408	2610	3772
409	2617	3766
410	2623	3759
411	2629	3752
412	2635	3745
413	2640	3737
414	2647	3731
415	2653	3725
416	2659	3717
417	2665	3711
418	2672	3705
419	2679	3700
420	2685	3693
421	2692	3687
422	2697	3679
423	2705	3675
424	2711	3669
425	2719	3664
426	2725	3657
427	2731	3650
428	2737	3643
429	2744	3638
430	2751	3632
431	2757	3625
432	2762	3617
433	2770	3612
434	2776	3606
435	2783	3601
436	2789	3594
437	2795	3586
438	2801	3580
439	2807	3573
440	2815	3569
441	2822	3563
442	2828	3556
443	2834	3549
444	2840	3542
445	2846	3535
446	2851	3528
447	2857	3521
448	2864	3514
449	2870	3507
450	2876	3501
451	2882	3494
452	2898	3499
453	2905	3494
454	2912	3488
455	2918	3481
456	2924	3475
457	2931	3468
458	2937	3461
459	2943	3455
460	2950	3449
461	2956	3442
462	2962	3436
463	2969	3430
464	2977	3425
465	2984	3419
466	2991	3414
467	2998	3409
468	3004	3401
469	3011	3396
470	3018	3389
471	3025	3384
472	3031	3377
473	3037	3370
474	3042	3363
475	3049	3356
476	3055	3349
477	3060	3342
478	3066	3334
479	3073	3329
480	3080	3323
481	3086	3317
482	3093	3310
483	3099	3304
484	3106	3298
485	3112	3291
486	3117	3284
487	3125	3279
488	3132	3272
489	3139	3267
490	3145	3260
491	3152	3254
492	3160	3249
493	3166	3243
494	3173	3237
495	3180	3231
496	3186	3224
497	3192	3217
498	3197	3210
499	3204	3204
500	3210	3197
501	3217	3191
502	3223	3185
503	3230	3178
504	3236	3172
505	3243	3166
506	3250	3160
507	3256	3154
508	3263	3148
509	3270	3142
510	3277	3136
511	3285	3131
512	3293	3126
513	3300	3120
514	3306	3113
515	3314	3109
516	3320	3102
517	3327	3095
518	3333	3089
519	3340	3083
520	3346	3076
521	3353	3070
522	3359	3064
523	3367	3059
524	3373	3052
525	3380	3046
526	3387	3040
527	3394	3034
528	3400	3027
529	3406	3020
530	3413	3015
531	3420	3009
532	3427	3002
533	3432	2995
534	3439	2989
535	3446	2983
536	3452	2977
537	3459	2971
538	3466	2964
539	3473	2959
540	3480	2952
541	3486	2946
542	3494	2941
543	3500	2934
544	3507	2928
545	3516	2923
546	3524	2918
547	3529	2911
548	3535	2904
549	3541	2897
550	3547	2890
551	3554	2884
552	3559	2877
553	3565	2870
554	3572	2864
555	3578	2857
556	3584	2850
557	3590	2843
558	3596	2837
559	3603	2831
560	3609	2824
561	3614	2817
562	3620	2810
563	3625	2802
564	3631	2796
565	3637	2789
566	3643	2782
567	3649	2775
568	3655	2768
569	3661	2762
570	3667	2755
571	3673	2748
572	3679	2742
573	3686	2736
574	3693	2729
575	3698	2722
576	3704	2715
577	3712	2710
578	3718	2703
579	3724	2696
580	3731	2691
581	3737	2684
582	3743	2677
583	3751	2672
584	3757	2665
585	3763	2658
586	3770	2652
587	3776	2646
588	3785	2641
589	3792	2635
590	3800	2630
591	3807	2624
592	3815	2618
593	3822	2612
594	3829	2606
595	3837	2601
596	3843	2594
597	3852	2589
598	3859	2583
599	3866	2577
600	3873	2571
601	3880	2565
602	3886	2559
603	3892	2552
604	3898	2545
605	3905	2539
606	3913	2533
607	3920	2527
608	3927	2521
609	3934	2515
610	3941	2509
611	3949	2503
612	3954	2496
613	3962	2490
614	3968	2484
615	3974	2477
616	3981	2471
617	3986	2464
618	3994	2458
619	4001	2452
620	4008	2446
621	4016	2440
622	4024	2435
623	4031	2429
624	4039	2423
625	4047	2417
626	4052	2410
627	4060	2405
628	4067	2399
629	4074	2392
630	4082	2387
631	4091	2382
632	4098	2376
633	4105	2369
634	4112	2363
635	4118	2357
636	4126	2351
637	4132	2344
638	4140	2339
639	4147	2333
640	4155	2327
641	4162	2320
642	4169	2315
643	4176	2308
644	4183	2302
645	4189	2295
646	4195	2288
647	4201	2282
648	4209	2276
649	4215	2269
650	4222	2263
651	4228	2257
652	4236	2251
653	4243	2244
654	4250	2238
655	4257	2232
656	4263	2225
657	4269	2219
658	4276	2212
659	4284	2207
660	4290	2200
661	4297	2194
662	4304	2188
663	4311	2181
664	4318	2175
665	4326	2169
666	4333	2163
667	4339	2156
668	4349	2151
669	4357	2145
670	4364	2140
671	4372	2134
672	4380	2128
673	4385	2121
674	4392	2115
675	4398	2108
676	4406	2102
677	4414	2096
678	4421	2090
679	4429	2084
680	4436	2078
681	4443	2072
682	4450	2065
683	4457	2059
684	4465	2053
685	4472	2047
686	4480	2041
687	4487	2034
688	4493	2028
689	4499	2021
690	4507	2015
691	4515	2009
692	4522	2003
693	4529	1997
694	4535	1990
695	4542	1983
696	4549	1977
697	4556	1971
698	4563	1965
699	4569	1958
700	4576	1951
701	4582	1945
702	4589	1939
703	4596	1932
704	4603	1926
705	4610	1919
706	4615	1912
707	4622	1906
708	4628	1899
709	4634	1893
710	4640	1886
711	4646	1879
712	4654	1873
713	4661	1867
714	4667	1860
715	4674	1854
716	4680	1847
717	4688	1841
718	4695	1834
719	4702	1828
720	4708	1822
721	4715	1815
722	4722	1809
723	4728	1802
724	4735	1796
725	4740	1789
726	4747	1782
727	4754	1776
728	4761	1770
729	4768	1763
730	4775	1757
731	4782	1750
732	4789	1744
733	4794	1737
734	4802	1731
735	4807	1724
736	4814	1718
737	4821	1711
738	4826	1704
739	4833	1698
